Temperature,Humidity,Heart_rate,Swim_angle,Label
31,315,68,330,Abnormal Swim-Angle
33,368,80,212,Abnormal Heart-Rate
32,392,68,366,Abnormal Swim-Angle
30,307,72,296,Normal
31,329,70,294,Normal
31,344,75,222,Abnormal Heart-Rate
42,356,71,208,Abnormal Temperature
30,399,66,299,Normal
30,370,70,208,Normal
32,416,66,250,Abnormal Humidity
35,435,67,293,Abnormal Humidity
32,301,69,284,Normal
31,344,71,258,Normal
32,400,65,205,Normal
29,395,70,290,Normal
28,467,70,296,Abnormal Humidity
34,390,78,242,Abnormal Heart-Rate
33,497,70,221,Abnormal Humidity
32,305,68,261,Normal
35,315,67,202,Normal
30,366,80,204,Abnormal Heart-Rate
40,359,65,249,Abnormal Temperature
32,371,81,273,Abnormal Heart-Rate
30,334,70,350,Abnormal Swim-Angle
42,301,69,270,Abnormal Temperature
28,383,71,336,Abnormal Swim-Angle
37,343,72,255,Abnormal Temperature
35,435,68,300,Abnormal Humidity
28,304,85,234,Abnormal Heart-Rate
31,329,72,382,Abnormal Swim-Angle
29,416,69,263,Abnormal Humidity
30,348,80,204,Abnormal Heart-Rate
28,355,83,279,Abnormal Heart-Rate
29,308,67,248,Normal
34,330,74,247,Abnormal Heart-Rate
35,355,71,289,Abnormal Temperature
33,304,81,288,Abnormal Heart-Rate
30,360,72,313,Abnormal Swim-Angle
41,358,69,273,Abnormal Temperature
32,304,74,294,Abnormal Heart-Rate
31,326,68,205,Normal
34,384,65,244,Normal
35,372,76,231,Abnormal Heart-Rate
30,417,67,237,Abnormal Humidity
31,463,72,293,Abnormal Humidity
41,333,66,223,Abnormal Temperature
32,362,70,364,Abnormal Swim-Angle
28,322,66,250,Normal
32,372,85,267,Abnormal Heart-Rate
33,405,65,295,Abnormal Humidity
41,348,68,213,Abnormal Temperature
29,394,83,294,Abnormal Heart-Rate
31,316,68,344,Abnormal Swim-Angle
34,329,71,395,Abnormal Swim-Angle
28,324,75,299,Abnormal Heart-Rate
37,381,71,216,Abnormal Temperature
34,393,66,221,Normal
39,365,70,244,Abnormal Temperature
31,364,66,249,Normal
33,358,71,302,Abnormal Swim-Angle
32,479,67,267,Abnormal Humidity
31,325,72,340,Abnormal Swim-Angle
28,343,71,318,Abnormal Swim-Angle
31,354,69,372,Abnormal Swim-Angle
34,500,69,276,Abnormal Humidity
34,300,65,251,Normal
35,432,67,264,Abnormal Humidity
38,375,66,251,Abnormal Temperature
34,499,67,210,Abnormal Humidity
30,314,70,284,Normal
35,341,66,235,Normal
40,347,71,287,Abnormal Temperature
28,365,79,297,Abnormal Heart-Rate
35,378,66,270,Abnormal Temperature
34,341,72,284,Normal
29,309,72,398,Abnormal Swim-Angle
40,361,71,234,Abnormal Temperature
28,459,71,269,Abnormal Humidity
35,323,69,300,Normal
30,332,68,357,Abnormal Swim-Angle
29,304,66,236,Normal
35,463,72,270,Abnormal Humidity
31,382,76,260,Abnormal Heart-Rate
30,441,67,263,Abnormal Humidity
28,382,69,377,Abnormal Swim-Angle
32,314,67,242,Normal
31,325,72,399,Abnormal Swim-Angle
38,325,68,210,Abnormal Temperature
30,491,71,281,Abnormal Humidity
41,393,72,226,Abnormal Temperature
33,388,72,339,Abnormal Swim-Angle
40,357,67,207,Abnormal Temperature
31,310,72,260,Normal
36,390,70,219,Abnormal Temperature
28,404,68,286,Abnormal Humidity
30,338,74,285,Abnormal Heart-Rate
32,384,76,242,Abnormal Heart-Rate
36,360,72,238,Abnormal Temperature
34,414,66,258,Abnormal Humidity
33,390,70,207,Normal
34,404,69,270,Abnormal Humidity
36,383,71,300,Abnormal Temperature
42,313,66,274,Abnormal Temperature
33,424,66,269,Abnormal Humidity
30,474,68,266,Abnormal Humidity
30,328,69,325,Abnormal Swim-Angle
35,346,84,251,Abnormal Heart-Rate
34,443,65,201,Abnormal Humidity
37,328,69,231,Abnormal Temperature
41,305,66,268,Abnormal Temperature
34,309,66,285,Normal
32,381,71,226,Normal
36,386,65,266,Abnormal Temperature
34,383,71,391,Abnormal Swim-Angle
28,309,69,264,Normal
35,352,69,206,Normal
34,416,71,261,Abnormal Humidity
29,343,65,273,Normal
33,306,81,243,Abnormal Heart-Rate
34,435,65,256,Abnormal Humidity
32,352,66,267,Normal
32,482,67,243,Abnormal Humidity
32,353,65,203,Normal
30,402,68,287,Abnormal Humidity
30,496,65,218,Abnormal Humidity
31,374,65,272,Normal
28,386,68,390,Abnormal Swim-Angle
32,310,70,301,Abnormal Swim-Angle
32,318,84,284,Abnormal Heart-Rate
40,305,68,218,Abnormal Temperature
38,374,65,221,Abnormal Temperature
35,393,71,352,Abnormal Swim-Angle
35,306,72,337,Abnormal Swim-Angle
35,453,67,206,Abnormal Humidity
35,342,77,242,Abnormal Heart-Rate
36,317,65,203,Abnormal Temperature
36,318,67,221,Abnormal Temperature
38,312,65,252,Abnormal Temperature
35,312,72,302,Abnormal Swim-Angle
38,341,72,269,Abnormal Temperature
34,460,69,216,Abnormal Humidity
37,342,67,218,Abnormal Temperature
29,332,69,311,Abnormal Swim-Angle
35,320,65,294,Normal
31,385,71,338,Abnormal Swim-Angle
29,475,69,251,Abnormal Humidity
32,434,66,285,Abnormal Humidity
28,329,72,322,Abnormal Swim-Angle
41,390,69,208,Abnormal Temperature
40,348,69,284,Abnormal Temperature
29,302,73,257,Abnormal Heart-Rate
31,483,68,205,Abnormal Humidity
28,374,79,265,Abnormal Heart-Rate
28,388,70,231,Normal
32,486,68,255,Abnormal Humidity
29,428,70,274,Abnormal Humidity
30,364,68,291,Normal
29,309,69,361,Abnormal Swim-Angle
29,409,70,276,Abnormal Humidity
32,384,70,373,Abnormal Swim-Angle
32,379,80,234,Abnormal Heart-Rate
31,300,68,236,Normal
32,358,71,229,Normal
32,469,67,245,Abnormal Humidity
33,438,72,217,Abnormal Humidity
31,348,69,376,Abnormal Swim-Angle
31,332,75,257,Abnormal Heart-Rate
38,371,72,227,Abnormal Temperature
30,444,72,228,Abnormal Humidity
34,397,68,315,Abnormal Swim-Angle
36,306,71,283,Abnormal Temperature
34,481,67,224,Abnormal Humidity
32,345,83,200,Abnormal Heart-Rate
37,400,67,229,Abnormal Temperature
28,331,68,385,Abnormal Swim-Angle
37,301,71,208,Abnormal Temperature
35,372,69,294,Normal
32,308,78,233,Abnormal Heart-Rate
41,331,65,234,Abnormal Temperature
31,339,65,210,Normal
41,376,70,238,Abnormal Temperature
35,383,81,213,Abnormal Heart-Rate
37,316,67,224,Abnormal Temperature
31,367,76,277,Abnormal Heart-Rate
36,314,70,296,Abnormal Temperature
29,437,65,248,Abnormal Humidity
